"Year","Month","Month_MM","Day","Site","Transect","Recorded_name","Count","Lifestage","Wet_Weight","Notes","Genus","Species","Family","Order","Class","Phylum","Kingdom"
2012,9,"September",17,"Santa Claus Lane","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,9,"September",17,"Santa Claus Lane","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,10,"October",2,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,10,"October",2,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2012,10,"October",2,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,9,"September",20,"Isla Vista","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,9,"September",20,"Isla Vista","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,9,"September",20,"Isla Vista","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,9,"September",21,"Arroyo Quemado","A","Akephorus marinus",1,-99999,0.0098,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,9,"September",21,"Arroyo Quemado","B","Akephorus marinus",1,-99999,0.0076,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,9,"September",21,"Arroyo Quemado","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,9,"September",23,"East Campus","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,9,"September",23,"East Campus","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,9,"September",23,"East Campus","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,10,"October",3,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,10,"October",3,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,10,"October",3,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,10,"October",3,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,10,"October",3,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,10,"October",3,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,10,"October",3,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,10,"October",3,"Santa Claus Lane","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2013,10,"October",3,"Santa Claus Lane","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",17,"East Campus","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",17,"East Campus","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",17,"East Campus","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",17,"Isla Vista","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",17,"Isla Vista","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",17,"Isla Vista","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",20,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",20,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",20,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",20,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",20,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",20,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",20,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",20,"Santa Claus Lane","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,10,"October",20,"Santa Claus Lane","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,11,"November",9,"Arroyo Quemado","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,11,"November",9,"Arroyo Quemado","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2014,11,"November",9,"Arroyo Quemado","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,8,"August",19,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,8,"August",19,"Santa Claus Lane","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,8,"August",19,"Santa Claus Lane","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,8,"August",21,"Arroyo Quemado","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,8,"August",21,"Arroyo Quemado","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,8,"August",21,"Arroyo Quemado","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,8,"September",19,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,8,"September",19,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,8,"September",19,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,9,"September",25,"East Campus","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,9,"September",25,"East Campus","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,9,"September",25,"East Campus","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,9,"September",25,"Isla Vista","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,9,"September",25,"Isla Vista","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,9,"September",25,"Isla Vista","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,11,"November",5,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,11,"November",5,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2015,11,"November",5,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,8,"August",25,"Isla Vista","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,8,"August",25,"Isla Vista","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,8,"August",25,"Isla Vista","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",6,"East Campus","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",6,"East Campus","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",6,"East Campus","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",10,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",10,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",10,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",11,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",11,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",11,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",11,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",11,"Santa Claus Lane","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",11,"Santa Claus Lane","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",28,"Arroyo Quemado","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",28,"Arroyo Quemado","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2016,10,"October",28,"Arroyo Quemado","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",6,"East Campus","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",6,"East Campus","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",6,"East Campus","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",8,"Isla Vista","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",8,"Isla Vista","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",8,"Isla Vista","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",20,"Arroyo Quemado","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",20,"Arroyo Quemado","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",20,"Arroyo Quemado","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",30,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",30,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",30,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",30,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",30,"Santa Claus Lane","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,10,"October",30,"Santa Claus Lane","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,11,"November",14,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,11,"November",14,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2017,11,"November",14,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,10,"October",12,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,10,"October",12,"Santa Claus Lane","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,10,"October",12,"Santa Claus Lane","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,10,"October",25,"Isla Vista","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,10,"October",25,"Isla Vista","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,10,"October",25,"Isla Vista","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",1,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",1,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",1,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",5,"Arroyo Quemado","A","Akephorus marinus",1,-99999,0.0083,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",5,"Arroyo Quemado","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",5,"Arroyo Quemado","C","Akephorus marinus",4,-99999,0.0364,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",6,"East Campus","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",6,"East Campus","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",6,"East Campus","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",7,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",7,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2018,11,"November",7,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,10,"October",20,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,10,"October",20,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,10,"October",20,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,11,"November",21,"Arroyo Quemado","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,11,"November",21,"Arroyo Quemado","B","Akephorus marinus",3,-99999,0.0266,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,11,"November",21,"Arroyo Quemado","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,11,"November",22,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,11,"November",22,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,11,"November",22,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,11,"November",22,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,11,"November",22,"Santa Claus Lane","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2019,11,"November",22,"Santa Claus Lane","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2020,10,"October",26,"Arroyo Burro","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2020,10,"October",26,"Arroyo Burro","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2020,10,"October",26,"Arroyo Burro","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2020,10,"October",26,"Carpinteria City","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2020,10,"October",26,"Carpinteria City","B","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2020,10,"October",26,"Carpinteria City","C","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
2020,10,"October",26,"Santa Claus Lane","A","Akephorus marinus",0,-99999,0,-99999,"Akephorus","marinus","Carabidae","Coleoptera","Insecta","Arthropoda","Animalia"
