Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Group,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3],Resp ulO2/m3/day,Excret ugN/m3/day,Biomass mgWW/m2,Resp ulO2/m2/day,Excret ugN/m2/day
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,105416,CHAET,Eukrohnia hamata,Mat. Stg. II,34,0.125,152.2,1.787122208,9209.5,18.7,1034.08,1.85E+00,3.31E+00,4.64E-01,1.85E+02,3.31E+02,4.64E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,105416,CHAET,Eukrohnia hamata,Mat. Stg. III,7,0.125,152.2,0.367936925,16645.2,9.5,7999.07,2.94E+00,3.37E+00,5.00E-01,2.94E+02,3.37E+02,5.00E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,139178,PTER,Clione limacina, ,8,0.5,152.2,0.105124836,2783.8,78.2,4737.15,4.98E-01,1.61E+00,9.05E-02,4.98E+01,1.61E+02,9.05E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,139178,PTER,Clione limacina, ,1,1,152.2,0.006570302,9798.8,0,43273.98,2.84E-01,6.56E-01,3.87E-02,2.84E+01,6.56E+01,3.87E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,140223,PTER,Limacina helicina, ,2,0.25,152.2,0.052562418,941.9,69.3,350.82,1.84E-02,1.18E-01,6.09E-03,1.84E+00,1.18E+01,6.09E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,103367,LARV,Oikopleura, ,16,0.25,152.2,0.420499343,1008.2,47.9,279.19,1.17E-01,1.32E+00,1.15E-01,1.17E+01,1.32E+02,1.15E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,254453,AMPH,Themisto pacifica, ,21,0.25,152.2,0.551905388,3419.2,53.6,3095.82,1.71E+00,8.89E+00,5.64E-01,1.71E+02,8.89E+02,5.64E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,428630,AMPH,Cyphocaris challengeri, ,61,0.25,152.2,1.603153745,3152.4,67.8,2057.69,3.30E+00,1.86E+01,1.17E+00,3.30E+02,1.86E+03,1.17E+02
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,106789,DECA,Pandalidae,Juvenile,1,1,152.2,0.006570302,4949.7,0,2074.47,1.36E-02,1.20E-01,5.97E-03,1.36E+00,1.20E+01,5.97E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,1128,EUPH,Euphausiacea,Furcilia,3,0.25,152.2,0.078843627,2764.1,120.1,483.64,3.81E-02,4.08E-01,1.86E-02,3.81E+00,4.08E+01,1.86E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,237851,EUPH,Euphausia pacifica,Juvenile,4,1,152.2,0.026281209,5872.9,75.2,6905.87,1.81E-01,1.04E+00,5.12E-02,1.81E+01,1.04E+02,5.12E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,237873,EUPH,Thysanoessa longipes,Juvenile,4,1,152.2,0.026281209,9348.8,32.2,16797.5,4.41E-01,2.37E+00,1.18E-01,4.41E+01,2.37E+02,1.18E+01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,237872,EUPH,Thysanoessa inspinata,Juvenile,2,1,152.2,0.013140604,5749.6,36.2,4199.54,5.52E-02,4.22E-01,2.01E-02,5.52E+00,4.22E+01,2.01E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,127482,OSTR,Halocyprididae, ,36,0.125,152.2,1.892247043,1550.1,17.7,277.83,5.26E-01,2.79E+00,9.40E-02,5.26E+01,2.79E+02,9.40E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,1082,MERO,Cirripedia,Cyprid,1,0.25,152.2,0.026281209,1514.5,0,443.8,1.17E-02,7.06E-02,6.26E-03,1.17E+00,7.06E+00,6.26E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,1248,CTENO,Ctenophora, ,1,1,152.2,0.006570302,4176.4,0,22215.33,1.46E-01,2.93E-02,2.42E-03,1.46E+01,2.93E+00,2.42E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,135418,SIPH,Dimophyes arctica,Anterior nectophore,3,0.25,152.2,0.078843627,7110.2,6.6,14500.47,1.14E+00,6.02E-01,5.24E-02,1.14E+02,6.02E+01,5.24E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,135418,SIPH,Dimophyes arctica,Posterior nectophore,1,0.25,152.2,0.026281209,4017.2,0,1791.5,4.71E-02,4.06E-02,3.32E-03,4.71E+00,4.06E+00,3.32E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,135418,SIPH,Dimophyes arctica,Eudoxid gonophore,1,0.25,152.2,0.026281209,1971.1,0,134.32,3.53E-03,5.58E-03,4.22E-04,3.53E-01,5.58E-01,4.22E-02
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,1371,SIPH,Siphonophorae,Nectophore,4,0.25,152.2,0.105124836,4001.8,38.5,3584.78,3.77E-01,2.62E-01,2.20E-02,3.77E+01,2.62E+01,2.20E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,1371,SIPH,Siphonophorae,Bract,1,0.25,152.2,0.026281209,1888.9,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,514245,DECA,Pasiphaea pacifica,Juvenile,14,1,152.2,0.091984231,21935.5,44.6,132644.94,1.22E+01,3.67E+01,2.09E+00,1.22E+03,3.67E+03,2.09E+02
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,117849,CNID,Aglantha digitale, ,1,1,152.2,0.006570302,1706.5,0,79.48,5.22E-04,9.33E-04,6.95E-05,5.22E-02,9.33E-02,6.95E-03
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,16349,CNID,Narcomedusae, ,12,1,152.2,0.078843627,7238.8,21.3,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,1599,CNID,Corynidae, ,10,1,152.2,0.065703022,5271.9,46.4,14360.63,9.44E-01,4.56E-01,4.01E-02,9.44E+01,4.56E+01,4.01E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,117030,CNID,Clytia, ,1,1,152.2,0.006570302,15448,0,40952.3,2.69E-01,1.12E-01,1.00E-02,2.69E+01,1.12E+01,1.00E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,103413,LARV,Oikopleura labradoriensis,Tail,2,0.25,152.2,0.052562418,1480.2,13.4,528.71,2.78E-02,2.93E-01,2.59E-02,2.78E+00,2.93E+01,2.59E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,101810,AMPH,Scina, ,2,1,152.2,0.013140604,5381.8,8.9,4125.25,5.42E-02,3.28E-01,2.06E-02,5.42E+00,3.28E+01,2.06E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,135335,SIPH,Physonectae,Pneumatophore,1,1,152.2,0.006570302,5586.8,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,101383,AMPH,Gammaridae, ,1,1,152.2,0.006570302,6220.7,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,1,200,100,1131,OTHR,Isopoda, ,1,1,152.2,0.006570302,1360,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104075,MDCAL,Aetideidae,C4,2,0.125,118.9,0.134566863,1496.9,0.5,332.11,4.47E-02,3.11E-01,2.74E-02,1.79E+00,1.24E+01,1.09E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104112,SMCAL,Aetideus,C5,1,0.125,118.9,0.067283431,1196.5,0,163.88,1.10E-02,9.05E-02,7.80E-03,4.41E-01,3.62E+00,3.12E-01
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104112,SMCAL,Aetideus,C6 AF,4,0.125,118.9,0.269133726,1494.7,6.5,334.05,8.99E-02,6.23E-01,5.48E-02,3.60E+00,2.49E+01,2.19E+00
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104115,SMCAL,Bradyidius,C4,2,0.125,118.9,0.134566863,1394.5,0,265.56,3.57E-02,2.62E-01,2.29E-02,1.43E+00,1.05E+01,9.16E-01
