Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3]
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196770,Calanus marshallae,C4,7,0.00195313,11.97719,299.2347143,1995.3,7.9,535.97,160.3800709
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196770,Calanus marshallae,C5,1,0.00195313,11.97719,42.74781633,2776.9,0,1485.27,63.49214392
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,353708,Neocalanus flemingeri,C5,1,0.03125,11.97719,2.671745209,3077.3,0,1935.12,5.170150837
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196772,Neocalanus plumchrus,C3,5,0.03125,11.97719,13.35872605,1921.5,2.8,411.12,5.49203849
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196772,Neocalanus plumchrus,C4,14,0.03125,11.97719,37.40443293,2775.3,5.8,1252.66,46.85508095
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196772,Neocalanus plumchrus,C5,12,0.03125,11.97719,32.06094251,3627.1,5.3,2800.08,89.77333816
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196774,Centropages abdominalis,C4,1,0.03125,11.97719,2.671745209,891.3,0,76.22,0.203636102
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196774,Centropages abdominalis,C5,1,0.03125,11.97719,2.671745209,1109.6,0,151.22,0.404018623
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196774,Centropages abdominalis,C6 AF,1,0.03125,11.97719,2.671745209,1253.7,0,221.55,0.591917943
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196774,Centropages abdominalis,C6 AM,2,0.03125,11.97719,5.343490418,1192.7,3.5,189.96,1.015063907
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104165,Pseudocalanus,C1,20,0.00390625,11.97719,427.4792334,404.2,7.6,3.66,1.563506409
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104165,Pseudocalanus,C2,13,0.00390625,11.97719,277.8615017,511.8,5.9,7.65,2.126335562
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104165,Pseudocalanus,C3,13,0.00390625,11.97719,277.8615017,635.1,9.5,15.41,4.282012337
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104165,Pseudocalanus,C4,5,0.00390625,11.97719,106.8698084,769.3,7.5,27.85,2.976171733
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104165,Pseudocalanus,C5,12,0.00390625,11.97719,256.4875401,913,8.6,48.2,12.36391776
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,104165,Pseudocalanus,C6 AM,20,0.0078125,11.97719,213.7396167,913.6,6.9,47.9,10.23909194
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,355067,Pseudocalanus mimus,C6 AF,21,0.0078125,11.97719,224.4265976,1227.2,4.4,120.62,27.07105636
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,157679,Pseudocalanus newmani,C6 AF,15,0.0078125,11.97719,160.3047125,1026.9,9,69.99,11.22014904
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196775,Eucalanus bungii,C1,7,0.03125,11.97719,18.70221646,1207.3,7.7,38.42,0.718589047
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196775,Eucalanus bungii,C2,14,0.03125,11.97719,37.40443293,1830.9,7.8,140.83,5.267826044
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196775,Eucalanus bungii,C3,5,0.03125,11.97719,13.35872605,2401.9,17.1,344.75,4.605442859
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196783,Metridia okhotensis,C1,1,0.015625,11.97719,5.343490418,588.8,0,18.39,0.098288117
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196784,Metridia pacifica,C1,2,0.0078125,11.97719,21.37396167,568.6,1.6,15.5,0.331346397
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,196784,Metridia pacifica,C3,1,0.0078125,11.97719,10.68698084,825.4,0,48.77,0.521201696
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,106656,Oithona similis,C1-5,44,0.00390625,11.97719,940.4543136,418.3,14.7,0.01,8.707839928
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,106656,Oithona similis,C6 AF,6,0.00390625,11.97719,128.24377,462.6,10.2,13.28,1.703400967
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,106656,Oithona similis,C6 AM,5,0.00390625,11.97719,106.8698084,458.6,10.5,12.93,1.381761284
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,128956,Triconia borealis,C1-5,1,0.03125,11.97719,2.671745209,378.3,0,6.81,0.018204244
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,105440,Parasagitta elegans, ,3,0.25,11.97719,1.001904453,8262.7,45.4,1217.32,1.219639707
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,139178,Clione limacina, ,2,0.0625,11.97719,2.671745209,982.4,27.2,298.61,0.797820234
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,139178,Clione limacina, ,1,1,11.97719,0.083492038,3935.2,0,5725.66,0.478047156
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,140223,Limacina helicina, ,24,0.0078125,11.97719,256.4875401,397.9,27.4,21.55,5.526075728
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,140223,Limacina helicina, ,18,0.5,11.97719,3.00571336,2441.2,25.7,3881.94,11.66799388
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,103367,Oikopleura, ,12,0.03125,11.97719,32.06094251,1279.7,61.5,604.68,19.38675561
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,103413,Oikopleura labradoriensis, ,32,0.03125,11.97719,85.49584669,1139.4,45.5,374.49,32.01691711
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,103375,Fritillaria borealis, ,6,0.03125,11.97719,16.03047125,721.1,46.4,5.84,0.093674435
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,254453,Themisto pacifica, ,4,1,11.97719,0.333968151,3438.3,5.6,1567.28,0.523421695
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,106777,Hippolytidae,Zoea,5,1,11.97719,0.417460189,6125.2,23.7,3280.87,1.369632261
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,106789,Pandalidae,Zoea,1,1,11.97719,0.083492038,10441,0,17832.99,1.488913021
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,1128,Euphausiacea,Nauplius,8,0.0078125,11.97719,85.49584669,560.4,8.5,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,1128,Euphausiacea,Calyptopis,35,0.0078125,11.97719,374.0443293,1596.4,34.3,69.31,25.92346489
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,1128,Euphausiacea,Furcilia,26,0.0625,11.97719,34.73268772,3247.5,15,300.66,10.44270653
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,883,Polychaeta,Larvae,17,0.0078125,11.97719,181.6786742,895.5,67.1,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,1082,Cirripedia,Nauplius,4,0.0078125,11.97719,42.74792334,692.1,7.3,22.35,0.955256151
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,105,Bivalvia,Larvae,6,0.0078125,11.97719,64.12188502,309.8,19.7,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,123084,Ophiuroidea,Ophiopluteus,24,0.0078125,11.97719,256.4875401,358.1,12.7,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,123082,Echinoidea,Echinopluteus,40,0.0078125,11.97719,427.4792334,419.6,20.1,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,101,Gastropoda,Larvae,31,0.0078125,11.97719,331.2964059,260.1,21.8,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,146142,Bryozoa,Cyphonautes,3,0.0078125,11.97719,32.06094251,490.1,9.7,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,1248,Ctenophora, ,2,0.25,11.97719,0.667936302,2304.1,17.9,5179.4,3.459506936
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,1371,Siphonophorae,Bract,1,0.25,11.97719,0.333968151,1364.6,0,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,10194,Actinopterygii,Larvae,2,1,11.97719,0.166984076,6101.9,15.6,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,117849,Aglantha digitale, ,3,1,11.97719,0.250476113,8105.8,35.9,9053.06,2.267575613
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,117067,Coryne, ,1,0.0078125,11.97719,10.68698084,4554.8,0,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,1603,Tubulariidae, ,1,1,11.97719,0.083492038,2010.7,0,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,117848,Rathkea octopunctata, ,1,0.25,11.97719,0.333968151,1418.2,0,0,0
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-04T07:55:17-0800,2018-05-04T08:02:33-0800,-149.4655,59.8468,270,GAK01,0,100,0,13552,Leptothecata, ,2,0.0625,11.97719,2.671745209,1098,9.4,6.71,0.017915036
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,1100,Calanoida,Nauplius,24,0.00390625,14.57226202,421.6229431,331.9,28.4,5.08,2.142549104
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,1100,Calanoida,Nauplius,7,0.015625,14.57226202,30.7433396,728,24.4,40.74,1.252388512
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104108,Acartia,C1,1,0.03125,14.57226202,2.195952829,382.5,0,4.23,0.009284308
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104108,Acartia,C2,2,0.03125,14.57226202,4.391905657,428.2,10.2,5.96,0.026157288
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104108,Acartia,C3,4,0.03125,14.57226202,8.783811315,521.8,9,10.6,0.093101743
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104257,Acartia longiremis,C6 AF,1,0.03125,14.57226202,2.195952829,752,0,30.15,0.066203047
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104257,Acartia longiremis,C6 AM,3,0.03125,14.57226202,6.587858486,847.4,4.1,42.8,0.281946265
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104275,Aetideus armatus,C6 AF,1,0.125,14.57226202,0.548988207,1308.4,0,217.24,0.119262302
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196770,Calanus marshallae,C1,16,0.015625,14.57226202,70.27049052,770,4.7,26.74,1.878874074
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196770,Calanus marshallae,C2,10,0.015625,14.57226202,43.91905657,1121.7,5.8,87.31,3.834601304
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196770,Calanus marshallae,C3,11,0.015625,14.57226202,48.31096223,1593.6,4.4,261.68,12.64204917
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196770,Calanus marshallae,C4,9,0.015625,14.57226202,39.52715092,2025.8,4.8,556.09,21.98081458
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196770,Calanus marshallae,C5,3,0.015625,14.57226202,13.17571697,2674.9,2,1321.98,17.41808875
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196771,Calanus pacificus,C1,4,0.03125,14.57226202,8.783811315,684.8,0.7,17.03,0.149614847
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104155,Neocalanus,C2,3,0.125,14.57226202,1.646964621,1183.9,5.8,105.33,0.173477915
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104470,Neocalanus cristatus,C4,2,0.5,14.57226202,0.274494104,4272.2,4.5,4422.83,1.21404061
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104470,Neocalanus cristatus,C5,11,0.5,14.57226202,1.50971757,6099,5.2,12533.54,18.92210762
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,353708,Neocalanus flemingeri,C4,1,0.125,14.57226202,0.548988207,2826.5,0,1473.94,0.809174976
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,353708,Neocalanus flemingeri,C5,16,0.125,14.57226202,8.783811315,3518,7.9,3029.32,26.60901268
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196772,Neocalanus plumchrus,C3,10,0.125,14.57226202,5.489882072,1911.9,5.4,407.37,2.236391185
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196772,Neocalanus plumchrus,C4,21,0.125,14.57226202,11.52875235,2813.8,3.1,1297.24,14.95558693
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196772,Neocalanus plumchrus,C5,33,0.125,14.57226202,18.11661084,3765.2,6.3,3144.46,56.96692356
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196774,Centropages abdominalis,C4,1,0.03125,14.57226202,2.195952829,759,0,46.12,0.101276655
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,196774,Centropages abdominalis,C5,1,0.03125,14.57226202,2.195952829,1024.7,0,117.9,0.25890497
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104513,Microcalanus pygmaeus,C3,1,0.03125,14.57226202,2.195952829,377.7,0,2.9,0.006366659
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104513,Microcalanus pygmaeus,C4,3,0.03125,14.57226202,6.587858486,449.3,2.2,5.02,0.03310096
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104513,Microcalanus pygmaeus,C5,2,0.03125,14.57226202,4.391905657,496.3,8.3,6.95,0.030534275
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104513,Microcalanus pygmaeus,C6 AF,3,0.03125,14.57226202,6.587858486,455.8,16.2,5.56,0.036612659
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104165,Pseudocalanus,C1,27,0.0078125,14.57226202,237.1629055,413.8,7.4,3.94,0.934253628
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104165,Pseudocalanus,C2,9,0.0078125,14.57226202,79.05430183,541.1,8.3,9.22,0.728590224
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104165,Pseudocalanus,C3,8,0.0078125,14.57226202,70.27049052,676.6,13.4,19.29,1.355678998
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104165,Pseudocalanus,C4,8,0.0078125,14.57226202,70.27049052,792.5,15.2,32.23,2.264521729
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104165,Pseudocalanus,C5,19,0.0078125,14.57226202,166.892415,980.3,11.8,61.67,10.29166186
SKQ201810S,QuadNet,0.25,Vertical,150,2018-05-03T20:12:17-0800,2018-05-03T20:20:17-0800,-149.3279,59.6926,228,GAK02,0,100,0,104165,Pseudocalanus,C6 AM,37,0.03125,14.57226202,81.25025466,925.5,5.5,49.67,4.035958528
